SKU,Toy Name,Price,Quantity,Age Range,Manufacturer
101,Lego Set,95.99,73,7-14,SplashToys
102,Lego Set,12.42,16,5-10,Lego
103,Teddy Bear,28.13,25,7-14,FunGames
104,Water Gun,95.52,77,4-7,BrainGames
105,Dollhouse,9.96,75,9-15,BuildIt
106,RC Car,84.68,97,6-12,ToyLand
107,Teddy Bear,5.49,16,3-6,Speedsters
108,RC Car,39.36,99,8-14,HeroToys
109,Teddy Bear,94.05,94,6-12,PlayHouse
110,Puzzle,24.47,85,2-5,ToyCo
111,Action Figure,25.43,10,5-10,ToyCo
112,RC Car,52.16,29,8-14,BrainGames
113,Water Gun,14.88,29,3-6,SplashToys
114,Teddy Bear,40.99,99,5-10,PlayHouse
115,RC Car,47.92,72,2-5,Lego
116,Puzzle,34.24,60,5-10,BrainGames
117,Action Figure,54.47,100,6-12,FunGames
118,RC Car,17.5,80,4-7,Lego
119,Teddy Bear,50.27,78,5-10,Speedsters
120,Building Blocks,35.16,88,9-15,PlayHouse
121,Water Gun,15.14,46,3-6,Speedsters
122,Board Game,27.27,99,1-3,ToyLand
123,Puzzle,40.99,70,6-12,Lego
124,Action Figure,27.21,52,7-14,ToyLand
125,Water Gun,95.14,87,3-6,ToyLand
126,Water Gun,56.03,41,9-15,Lego
127,Action Figure,63.55,59,9-15,ToyCo
128,RC Car,22.46,92,6-12,PlayHouse
129,Stuffed Elephant,53.48,19,9-15,ToyLand
130,Puzzle,87.78,19,7-14,FunGames
131,RC Car,53.68,62,2-5,PlayHouse
132,RC Car,31.11,53,1-3,BuildIt
133,Teddy Bear,51.1,12,1-3,BuildIt
134,RC Car,56.12,30,2-5,FunGames
135,RC Car,46.64,76,9-15,FunGames
136,Water Gun,49.41,86,6-12,FunGames
137,Teddy Bear,84.37,31,2-5,HeroToys
138,Teddy Bear,94.4,59,1-3,SplashToys
139,Action Figure,91.15,21,7-14,ToyCo
140,Lego Set,43.81,7,3-6,SplashToys
141,Teddy Bear,33.24,74,3-6,ToyCo
142,Water Gun,43.56,70,2-5,BuildIt
143,Building Blocks,79.63,40,7-14,Speedsters
144,Puzzle,7.8,13,2-5,SplashToys
145,Dollhouse,85.3,41,7-14,Lego
146,Board Game,15.82,47,8-14,SplashToys
147,RC Car,73.64,43,7-14,Speedsters
148,Lego Set,31.9,67,2-5,ToyLand
149,Puzzle,52.07,50,5-10,SplashToys
150,Water Gun,49.95,7,9-15,PlayHouse
151,Dollhouse,80.84,88,5-10,FunGames
152,Stuffed Elephant,38.87,78,8-14,SplashToys
153,Teddy Bear,50.02,58,7-14,BrainGames
154,Action Figure,9.3,28,7-14,ToyLand
155,Board Game,65.68,59,8-14,PlayHouse
156,Stuffed Elephant,63.36,47,5-10,SplashToys
157,Board Game,44.12,18,5-10,PlayHouse
158,Lego Set,38.34,21,6-12,Lego
