SKU,Toy Name,Price,Quantity,Age Range,Manufacturer
102,Lego Set,12.42,16,5-10,Lego
115,RC Car,47.92,72,2-5,Lego
118,RC Car,17.5,80,4-7,Lego
123,Puzzle,40.99,70,6-12,Lego
126,Water Gun,56.03,41,9-15,Lego
145,Dollhouse,85.3,41,7-14,Lego
158,Lego Set,38.34,21,6-12,Lego
168,Building Blocks,76.64,1,9-15,Lego
185,Teddy Bear,69.16,93,7-14,Lego
200,Board Game,42.32,18,3-6,Lego
216,Dollhouse,74.28,77,9-15,Lego
217,Lego Set,20.99,28,4-7,Lego
246,Dollhouse,22.27,58,8-14,Lego
248,Water Gun,98.65,50,8-14,Lego
258,Puzzle,40.04,3,9-15,Lego
284,Puzzle,88.66,4,3-6,Lego
309,Teddy Bear,45.69,95,9-15,Lego
316,Teddy Bear,28.69,13,5-10,Lego
320,Water Gun,23.57,97,8-14,Lego
337,Board Game,61.45,44,2-5,Lego
343,Puzzle,42.32,37,6-12,Lego
359,Puzzle,89.85,85,5-10,Lego
368,Water Gun,38.86,98,6-12,Lego
391,Lego Set,47.41,5,7-14,Lego
398,Water Gun,86.49,58,5-10,Lego
404,Stuffed Elephant,27.54,46,4-7,Lego
411,Puzzle,10.84,71,6-12,Lego
420,Stuffed Elephant,31.85,66,6-12,Lego
425,Building Blocks,38.09,76,6-12,Lego
428,Stuffed Elephant,84.08,83,5-10,Lego
452,Lego Set,33.99,44,7-14,Lego
499,Stuffed Elephant,24.82,5,8-14,Lego
503,Stuffed Elephant,32.71,3,9-15,Lego
504,Building Blocks,95.37,93,8-14,Lego
524,Building Blocks,8.51,95,1-3,Lego
532,RC Car,16.99,71,7-14,Lego
533,Dollhouse,15.21,88,4-7,Lego
540,RC Car,32.58,74,4-7,Lego
551,Teddy Bear,19.29,70,3-6,Lego
558,Lego Set,54.42,95,7-14,Lego
564,Building Blocks,13.93,86,4-7,Lego
592,Teddy Bear,7.15,22,7-14,Lego
599,RC Car,67.37,81,5-10,Lego
604,Stuffed Elephant,50.92,21,1-3,Lego
626,Board Game,65.44,59,9-15,Lego
655,Lego Set,37.53,23,9-15,Lego
659,Teddy Bear,14.1,90,5-10,Lego
689,Dollhouse,7.63,98,7-14,Lego
713,Lego Set,27.67,92,5-10,Lego
716,Board Game,45.52,99,1-3,Lego
726,Board Game,7.51,72,7-14,Lego
734,Teddy Bear,96.49,29,3-6,Lego
739,RC Car,52.92,63,6-12,Lego
752,Action Figure,86.85,38,9-15,Lego
760,RC Car,83.61,96,2-5,Lego
762,Puzzle,59.63,63,3-6,Lego
767,Stuffed Elephant,61.65,31,5-10,Lego
788,RC Car,45.03,75,6-12,Lego
793,Stuffed Elephant,70.0,90,9-15,Lego
828,Action Figure,46.62,29,3-6,Lego
848,Water Gun,67.71,50,3-6,Lego
855,Board Game,91.56,17,7-14,Lego
858,Water Gun,31.0,62,5-10,Lego
876,Dollhouse,38.49,55,1-3,Lego
882,Building Blocks,5.92,64,8-14,Lego
916,Board Game,71.75,89,3-6,Lego
923,Action Figure,39.65,78,7-14,Lego
937,Stuffed Elephant,39.86,58,1-3,Lego
949,RC Car,26.73,82,3-6,Lego
962,Puzzle,97.99,20,1-3,Lego
991,Stuffed Elephant,57.17,87,3-6,Lego
1006,Stuffed Elephant,62.11,46,3-6,Lego
1008,Stuffed Elephant,27.44,98,9-15,Lego
1009,Puzzle,29.06,75,2-5,Lego
1014,Action Figure,27.95,26,7-14,Lego
1015,Dollhouse,6.87,62,1-3,Lego
1017,Dollhouse,75.85,28,7-14,Lego
1032,Teddy Bear,88.08,74,1-3,Lego
1054,Dollhouse,61.06,80,5-10,Lego
1055,Puzzle,74.31,64,1-3,Lego
1073,Lego Set,19.65,30,7-14,Lego
1082,Teddy Bear,6.31,48,5-10,Lego
1088,RC Car,5.7,78,2-5,Lego
1089,Puzzle,6.96,15,2-5,Lego
1094,Stuffed Elephant,92.11,83,1-3,Lego
1108,Board Game,83.73,51,8-14,Lego
